pwm, Dp, Dr, r_po,"	Sr", r_error, p_po, r_ctrl,,
0,1.11,-0.35,3,0,13.96,0,0,0,0
0,1.11,-0.33,3,0,13.96,0,0,0,0
0,1.14,-0.34,3,0,13.96,0,0,0,0
0,1.15,-0.34,3,0,13.96,0,0,0,0
0,1.15,-0.35,3,0,13.96,0,0,0,0
0,1.14,-0.35,3,0,13.96,0,0,0,0
66,1.14,-0.36,3,0,13.96,0,0,0,-1
8,1.14,-0.36,3,0,13.96,0,0,0,-1
18,1.13,-0.35,3,0,13.96,0,0,0,-1
49,1.21,-0.37,1,0,4.43,0,0,0,-1
84,1.15,-0.38,1,0,5.04,0,0,0,-1
84,1.14,-0.38,1,0,5.22,0,0,0,-1
84,1.07,-0.42,1,-1,3.96,-1,0,0,-1
84,1.02,-0.5,1,-2,7.34,-2,0,0,-1
84,0.39,1.36,1,-3,-48.53,-3,0,0,-1
84,0.76,2.99,1,-3,-30.43,-3,0,0,-1
84,0.17,-0.39,1,-1,26.63,-1,0,0,-1
84,1.02,-1.42,1,-3,28.99,-3,0,0,-1
84,-0.25,0.41,1,1,-31.83,1,0,0,-1
84,-1.51,1.77,1,0,-35.19,0,0,0,-1
84,-2.35,1.91,1,1,-25.26,1,0,0,-1
84,-2.17,-0.82,1,0,47.69,0,0,0,-1
84,-1.7,-2.33,1,0,32.64,0,0,0,-1
84,-1.03,0.42,1,0,-29.07,0,0,0,-1
84,-1.48,0.91,1,3,-9.72,3,0,0,-1
84,-2.4,0.06,1,1,0,1,0,0,-1
84,-0.75,-0.02,1,0,-1.27,0,0,0,-1
84,0.35,-0.34,1,0,-5.84,0,0,0,-1
84,0.75,1.12,1,0,-37.05,0,0,-69,-1
84,-0.17,0.72,1,3,-1.07,3,0,-128,-1
84,-2.41,-0.29,1,6,3.59,6,0,-128,-1
84,-1.87,0.13,1,0,-14.4,0,0,-128,-1
84,-2.46,1.28,1,3,-48.79,3,0,-128,-1
84,-5.19,2.34,1,5,-49.26,5,0,-128,-1
84,-5.61,0.03,1,0,13.64,0,0,0,-1
146,-2.45,-0.56,1,-9,-16.44,-9,0,0,-1