pwm, Dp, Dr, p_po,	Cp, error, r_po
0, -0.03, -0.10, 0.00, 0.00, 0.00, 0.00, -1
0, -0.03, -0.09, 0.00, 0.00, 0.00, 0.00, 8
0, -0.02, -0.11, 0.00, 0.00, 0.00, 0.00, -2
0, -0.02, -0.11, 0.00, 0.00, 0.00, 0.00, -2
0, -0.01, -0.11, 0.00, 1.18, 1.19, 0.00, -2
0, -0.01, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.01, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.01, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.11, 0.00, -0.12, 0.00, 0.00, -2
0, -0.03, -0.09, 0.00, -0.12, 0.00, 0.00, -2
0, -0.03, -0.08, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.07, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.06, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.07, 0.00, -0.12, 0.00, 0.00, -2
0, -0.03, -0.07, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.07, 0.00, -0.12, 0.00, 0.00, -2
0, -0.02, -0.06, 0.00, -0.12, 0.00, 0.00, -2
24, -0.02, -0.06, 0.00, -0.12, 0.00, 0.00, -2
53, -0.02, -0.06, 0.00, -0.12, 0.00, 0.00, -2
55, -0.01, -0.05, 0.00, -0.12, 0.00, 0.00, -2
55, 0.04, -0.05, 0.00, -0.12, 0.00, 0.00, -2
69, 0.06, -0.05, 0.00, -0.12, 0.00, 0.00, -2
83, 0.04, -0.06, 0.00, -0.12, 0.00, 0.00, -2
93, 0.01, -0.08, 0.00, -0.12, 0.00, 0.00, -2
123, -0.01, -0.24, 0.00, -0.12, 0.00, 0.00, -2
126, -0.10, -0.27, 0.00, -0.12, 0.00, 0.00, -2
126, -0.44, -0.38, 0.00, -0.12, 0.32, 0.00, -2
126, -2.25, -1.62, 0.00, -0.12, 2.13, 0.00, -2
126, -4.82, -3.68, 1.00, -0.12, 4.70, 0.00, -2
93, 0.15, -4.01, -1.00, -0.12, 0.00, 0.00, -2
0, 11.52, 2.37, -5.00, -0.12, -11.64, 0.00, -2
0, 22.38, 5.91, -8.00, -0.12, -22.50, 0.00, -2
0, 23.88, -4.00, -7.00, -0.12, -24.00, 0.00, -2
0, 7.55, -28.05, 0.00, -0.12, -7.67, 0.00, -2
0, -5.18, 0.09, 3.00, -0.12, 5.06, 0.00, -2
0, -3.30, -0.29, 0.00, -0.12, 3.18, 0.00, -2
0, -2.90, -0.29, 0.00, -0.12, 2.78, 0.00, -2
0, -2.56, -0.29, 0.00, -0.12, 2.44, 0.00, -2
0, -2.25, -0.29, 0.00, -0.12, 2.13, 0.00, -2
0, -1.97, -0.30, 0.00, -0.12, 1.85, 0.00, -2
0, -1.52, -0.30, 0.00, -0.12, 1.40, 0.00, -2
0, -1.32, -0.31, 0.00, -0.12, 1.21, 0.00, -2
0, -1.16, -0.31, 0.00, -0.12, 1.05, 0.00, -2
0, -1.04, -0.32, 0.00, -0.12, 0.92, 0.00, -2
0, -0.91, -0.31, 0.00, -0.12, 0.79, 0.00, -2
0, -0.79, -0.31, 0.00, -0.12, 0.67, 0.00, -2
0, -0.71, -0.31, 0.00, -0.12, 0.59, 0.00, -2
0, -0.62, -0.31, 0.00, -0.12, 0.51, 0.00, -2
0, -0.55, -0.31, 0.00, -0.12, 0.44, 0.00, -2
0, -0.49, -0.31, 0.00, -0.12, 0.37, 0.00, -2
0, -0.44, -0.32, 0.00, -0.12, 0.32, 0.00, -2
0, -0.39, -0.31, 0.00, -0.12, 0.00, 0.00, -2
0, -0.34, -0.31, 0.00, -0.12, 0.00, 0.00, -2
51, -0.31, -0.31, 0.00, -0.12, 0.00, 0.00, -2
126, -0.27, -0.32, 0.00, -0.12, 0.00, 0.00, -2
126, -0.25, -0.31, 0.00, -0.12, 0.00, 0.00, -2
126, -0.22, -0.30, 0.00, -0.12, 0.00, 0.00, -2
126, -0.23, -0.37, 0.00, -0.12, 0.00, 0.00, -2
126, -0.75, -1.60, 0.00, -0.12, 0.63, 0.00, -2
126, -3.77, -10.54, 2.00, -0.12, 3.65, 0.00, -2
0, -18.10, -32.94, 11.00, -0.12, 17.98, 0.00, -2
0, -34.54, -50.85, 17.00, -0.12, 34.43, 0.00, -2
0, -66.56, -55.27, 32.00, -0.12, 66.44, 0.00, -2
0, -132.13, 172.15, 60.00, -0.12, 132.01, 0.00, -2
0, -167.35, 179.55, 60.00, -0.12, 167.23, 0.00, -2
0, 150.65, -175.05, -52.00, -0.12, -150.77, 0.00, -2
0, 108.10, -93.52, -45.00, -0.12, -108.21, 0.00, -2
0, 113.56, -112.63, -45.00, -0.12, -113.68, 0.00, -2
0, 117.10, -129.05, -46.00, -0.12, -117.22, 0.00, -2
0, 121.48, -140.43, -48.00, -0.12, -121.60, 0.00, -2
0, 126.68, -149.13, -51.00, -0.12, -126.80, 0.00, -2
0, 131.98, -155.48, -53.00, -0.12, -132.10, 0.00, -2
0, 137.11, -160.24, -55.00, -0.12, -137.23, 0.00, -2
0, 141.64, -163.73, -56.00, -0.12, -141.76, 0.00, -2
0, 146.09, -166.69, -58.00, -0.12, -146.20, 0.00, -2
0, 150.11, -169.08, -60.00, -0.12, -150.23, 0.00, -2
0, 153.76, -171.05, -60.00, -0.12, -153.87, 0.00, -2
0, 156.76, -171.28, -60.00, -0.12, -156.87, 0.00, -2
0, 161.73, -170.36, -60.00, -0.12, -161.84, 0.00, -2
0, 163.67, -171.91, -60.00, -0.12, -163.79, 0.00, -2
0, 164.68, -174.80, -60.00, -0.12, -164.80, 0.00, -2
15, 171.64, -174.86, -60.00, -0.12, -171.75, 0.00, -2
15, -157.86, -175.34, 54.00, -0.12, 157.75, 0.00, -2
11, -137.34, -155.99, 52.00, -0.12, 137.22, 0.00, -2
11, -133.40, -170.89, 55.00, -0.12, 133.29, 0.00, -2
11, -129.10, -141.93, 45.00, -0.12, 128.99, 0.00, -2
14, -117.74, -107.71, 47.00, -0.12, 117.62, 0.00, -2
14, -120.01, -94.32, 47.00, -0.12, 119.89, 0.00, -2
45, -119.84, -102.80, 47.00, -0.12, 119.73, 0.00, -2
48, -121.15, -98.66, 49.00, -0.12, 121.03, 0.00, -2
48, -119.43, -102.66, 45.00, -0.12, 119.31, 0.00, -2
48, -112.99, -131.47, 46.00, -0.12, 112.87, 0.00, -2
24, -117.59, -154.34, 46.00, -0.12, 117.47, 0.00, -2
0, -119.04, -164.35, 47.00, -0.12, 118.93, 0.00, -2
0, -124.15, -160.51, 49.00, -0.12, 124.03, 0.00, -2
0, -124.05, -157.72, 49.00, -0.12, 123.93, 0.00, -2
0, -124.34, -156.99, 49.00, -0.12, 124.22, 0.00, -2
0, -124.83, -158.27, 49.00, -0.12, 124.72, 0.00, -2
0, -125.59, -157.22, 50.00, -0.12, 125.48, 0.00, -2
0, -124.08, -156.30, 48.00, -0.1